city_name,cluster,second_area
Івано-Франківськ,0,"Княгинин, Позитрон, Центральний ринок, Парк Воїнів-інтернаціоналістів, ТЦ Панорама плаза, ТЦ Пасаж, Центр, НТУ Нафти і Газу, Залізничний-автовокзал, Гірка, Міське озеро, Синагога Темпель, БАМ"
Івано-Франківськ,1,"Стометрівка, Чорновола, Університет імені Василя Стефаника, Меморіальний сквер, Університет Короля Данила, Позитрон, Національний медичний університет, Пам'ятник Степану Бандері, ТЦ White, Кінотеатр Космос, Обласна дитяча клінічна лікарня, Арсенал, Центр, Стадіон Рух, Драмтеатр, Велмарт, ТЦ Флагман, Монумент Івану Франку, Синагога Темпель, Парк ім. Тараса Шевченка, Аеропорт, Міське озеро, ТЦ Велес, Пасiчна"
Івано-Франківськ,2,"ТЦ Велес, Будівельників, Стадіон Пожежник, ТЦ Арсен, Позитрон, Княгинин, Каскад, Софіївка, Кішлак, Гірка, Епіцентр, Надрічна, Metro, Костел Христа Царя, Брати, Центр, McDonald's, Вовчинець"
Івано-Франківськ,3,"Крихівці, Парк ім. Тараса Шевченка, Ковзанка Цунамі, Міське озеро, Позитрон, БАМ, Патріот, Калинова слобода, Набережна вулиця ім. Василя Стефаника, Городок, Каскад, Стометрівка, Арсенал"
Івано-Франківськ,4,"Брати, Рiнь, Тисменицька, Майзлі, Набережна р. Бистриця Надвірнянська, Будівельників, Залізничний-автовокзал, Храм Царя Христа, Центр, Епіцентр, Позитрон, Микитинці, Кінотеатр Космос"
Івано-Франківськ,5,"Надрічна, Пасiчна, Обласна клінічна лікарня, Автостанція №2, Собор Преображення Господнього, Княгинин, Німецьке озеро, Ботанічний Сад імені Василя Стефаника, Центр, НТУ Нафти і Газу"
Івано-Франківськ,6,"Позитрон, Опришівцi, Велмарт"
Івано-Франківськ,7,"Міське озеро, Кант, Набережна вулиця ім. Василя Стефаника, ТЦ Пасаж, Архикатедральний Собор, НТУ Нафти і Газу, Позитрон, Центр, Національний медичний університет, ТЦ Флагман, Парк ім. Тараса Шевченка, Університет імені Василя Стефаника"
Вінниця,0,"П'ятничани, Хімік, Замостя, Квадрат, Київська, Можайка, Центральний ринок, ТЦ Квартал, Бригантина, Тяжилів, Варшава, Р-н «Будинок офіцерів», Казарми, Підшипниковий завод, Подільській зоопарк"
Вінниця,1,"Лісопарк, Долинки, Вишенька, Аквапарк ""Маяк"", ТРЦ Мир, Барське шосе, ТРЦ ""Мегамол"", ТЦ Пасаж, ТЦ Вишенька, П'ятничани, Чорнобиль, Пирогово, Вишенське озеро, Центр, Куба, ТЦ Плаза парк, Ботанічний сад «Поділля», ТЦ The Mall, Нижня Слов'янка, Парк «Вишенський»"
Вінниця,2,
Вінниця,3,"Нижня Слов'янка, Поділля, ТРЦ «Поділля Сіті», Свердловський Масив, Парк «Вишенський», Ринок ""Урожай"", Парк імені лікаря О.І.Ющенка, Царина, Академічний, Вишенька"
Вінниця,4,"Тяжилів, Військове містечко, Замостя, Хімік"
Вінниця,5,"ТРЦ Skypark, Центр, Замостя, Європейська площа, Старе місто, Набережна Рошен, Кумбари, Садки, Краєзнавчий музей, Центральний міський парк ім. Леонтовича, Свердловський Масив, Долинки, Центральний ринок, Корея, Київська, Військове містечко, Універмаг, Вишенька, Cпорткомплекс «Термінал», Верхня Слов'янка, Поділля"
Вінниця,6,"Академічний, Подільський парк, Пирогово"
Вінниця,7,"Старе місто, Малі Хутори, Олієжир, Слобідка, Крива, Центральний ринок"
Дніпро,0,"Лівобережний-3, Кам'янський, Лівобережний-4, Ломівка, ТЦ На Клочко, ТЦ ""Сіті Центр"", Стадіон Петра Лайко, Калинівський, ТРЦ Караван, Лівобережний-1, Боржом, Калинова, Березинський Ринок, Бараф, Ломівський, Районна лікарня, Амур-Піски, Лівобережний-2, Амур-Чорнозем, Центральний міст, Амур, Амурський парк, Воронцовський, Образцова"
Дніпро,1,"Планетарій, ДДАЕУ, Перемога-1, Набережна Перемоги, ТРЦ NEO PLAZA, Троїцький ринок, Музей українського живопису, Технічний музей ""Машини часу"", ТЦ Atrium, Нагірний, Цирк, Нові плани, Центральна міська бібліотека, ЦУМ, Європейська площа, Лікарня Мечникова, ТЦ Delmar Mall, Нагорний ринок, Драмтеатр, Філармонія, ТРК Мост-сіті, Гагаріна, ТЦ Пасаж, Парк імені Юрія Гагаріна, Стадіон Славутич, Аерокосмічний музей, Центр, Монастирський острів, Театр опери і балету, ТЦ Босфор, Табірний, Рибальське, Катеринославський бульвар, Театр одного актора ""Крик"", Фабрика, Перемога-5, Перемога-3, УМСФ, Парк Шевченка, Перемога, Спасо-Преображенський кафедральний собор, Стадіон «Дніпро-арена», Центральний міст, ДДУВС, Довга балка"
Дніпро,2,"Олександра Поля просп., Робоча-верх, Сквер Героїв, Озерка, Мазепи, Театр опери і балету, Привокзальний, Спортзал ""Мустанг"", Івана Мазепи просп., Стадіон «Дніпро-арена», Залізничний вокзал, Центральний ринок, Стадіон ""Локомотив"", Воєнка, Фрунзе, Свято-Тихвінський монастир, Рибальське, Лікарня №16, Парк Зелений гай, ТРЦ ""Міріада"", Чечелівка, Центральний міст, Південмаш, Спортклуб ""Канрей"", Парк ім. Лазаря Глоби, ТЦ ""Славутич"", Палац культури машинобудівників, Нижній, Парк імені Богдана Хмельницького, Робоча Слобода, Підгірна Слобода, Шляхівка, Автовокзал, Робоча-низ, Довга балка, 12-й Квартал, Нові плани, ТЦ Appolo, Центр зайнятості, Річковий вокзал, Розвилка, ТРЦ Дафі, Покровський"
Дніпро,3,"Червоний камінь, Мазепи, Покровський, Новокодацький парк, Парус, Вітрило, Нові Кайдаки, Кам'янка, Дієвка-2, Західний, Новий м-н, Храм Різдва Пр. Богородиці, Березанівка, Таромске, Міська лікарня №4, Міська лікарня №5"
Дніпро,4,"Рибальське, Калнишевського, Калинова, Спорткомплекс ""Олімпія"", Осіння, ТЦ Вавилон, Мануйлівка, Сонячний, Лісопарк Дружби народів, Клочко старе, Воронцовський, Султанівка, Сахалін, Бараф, Міська лікарня №6, Міська дитяча лікарня, Зразковий ринок, Слобожанський просп., Металіст, Стадіон Петра Лайко, Північний, ТЦ «МЛИН», ТРЦ Караван, Центральний міст, Північний ринок, Нижньодніпровськ-Вузол, Образцова"
Дніпро,5,"ТРЦ «TERRA» Тополя, Рибальське, Тітова, Тополя-1, ТРЦ «TERRA» Богдана Хмельницького, Парк ім. Володі Дубініна, Тополя-3, Тополя-2, Басейн «ДВУФК», ТЦ Appolo, ТРЦ Дафі, 12-й Квартал, Парк 40-річчя визволення Дніпра, ТЦ ""Славутич"", Парк імені Юрія Гагаріна, Будівельник, Парк ім. Писаржевського, Бульвар Слави, Підстанція, Шинник, Академмістечко, Сокіл-1, Палац Спорту ДНУ ім. О. Гончара, Мирний, Центр, Епіцентр, Стадіон Олімпійські резерви, Корея"
Дніпро,6,"Перемога-6, Перемога-5, ТЦ Кодак, Перемога-1, Яхт-клуб Січ, Перемога-3, ТЦ Набережний, Сокіл-2, Перемога-2, Придніпровськ, Перемога, Перемога-4, Лоцманська Кам'янка, ТЦ Hermes, Міська лікарня №12, Сокіл-1, Бульвар Слави, Придніпровський ринок, Рибальське, База ФК ""Дніпро"""
Житомир,0,"Чеська Крошня, Парк відпочинку Крошенський, Путятинка, Богунський кар’єр, Смокiвка, ТЦ Острів, Соколова гора, Хмільники, Богунія, Ринок Хмільники, Чулочка, Малинський ринок, Аеропорт, Каракулi, Сінний ринок, Квара-парк, Крошня"
Житомир,1,"Стадіон Полісся, Старий бульвар, Музична фабрика, Центр, Корбутівка, Схiдний м-р, ТЦ Сімейний, Ботанічний сад, Музей космонавтики ім. С.П. Корольова, Паперова фабрика, Путятинка, Соборна площа, Левкiвка, Смолянка, Схiдний промвузол"
Житомир,2,
Житомир,3,"ЦУМ, ТЦ Дастор, Автовокзал, Кашперiвка, ТРЦ Ярмарок, ТРЦ Глобал UA, Старе місто, Площа Перемоги, Путятинка, Житній ринок, Сурина гора, Гейнчiвка, Стадіон Спартак Арена, Вокзал, Центр, Хмільники, Сінний ринок, Богунський кар’єр"
Запоріжжя,0,Павло-Кічкас
Запоріжжя,1,"2-й Шевченківський м-р, 1-й Шевченківський м-р, Кінотеатр ""Байда 3D"", 3-й Шевченківський м-р, Димитрова селище, Стадіон ""Стріла"", Воєнне містечко, Зелений Яр"
Запоріжжя,2,
Запоріжжя,3,"3 Хортицький, Парк поколінь, Палац культури ""Хортицький"", Лахтинський ринок, Універсам, ТЦ ""Амстор"", Автодром, 5 Хортицький, 17-й  м-р, Ювілейний ринок, 6 Хортицький, 15-й м-р, Ринок Бахчисарай, 16-й м-р"
Запоріжжя,4,"ТРЦ ""Аврора"", Малий ринок, Старе місто, Локомотив стадіон, Овочевий ринок, Площа Свободи, Робоче селище, Мотор-Січ, Парк ім. Климова, Гортоп, Театр ""СВIЯ"", 1-й Шевченківський м-р, ТРЦ ""City Mall"", Спорткомплекс ""Спартак"", Приміський Залізничний Вокзал, 3-й Шевченківський м-р, Міський РАЦС"
Запоріжжя,5,"4-й Південний м-р, Олександрівський ринок, Південне селище, Космос, 1-й Південний м-р, Сквер Гагаріна, Друготравневе селище, Першотравневе селище, 3-й Південний м-р, 2-й Південний м-р, 5-й Південний м-р, Зоопарк ""Сімба"""
Запоріжжя,6,"Бородинський м-р, Парк Енергетиків, ТЦ ""Континент"", Осипенківський ж/м, Ринок Селянський, Спорткомплекс SKV, Храм Св.Ап.Іоанна Богослова, Великий Луг, Бомбей, Робоче селище, Парк ім. Чуйкова, Бородинський ринок"
Запоріжжя,7,"Парк трудової слави, СК ""Будівельник"", Філармонія, Вознесенівський ринок, ТЦ ""Центральний"", 12 квітня, Обласна інфекційна лікарня, Міський РАЦС, Фонтан життя, Палац спорту ""Юність"", Жданівський пляж, Соцмісто, Фестивальна площа, Набережна, Виставковий центр ""Козак-Палац"", Кінотеатр ""Байда 3D"", Стадіон ""Славутич-Арена"", Парк Перемоги, 3-й Шевченківський м-р, Площа Профспілок, FitClub Sky hall, ТЦ ""Україна"", Бульвар Шевченко, Кінотеатр ім. Довженка, Палац культури ""Орбіта"", Критий ринок, Космос, Запорізька площа"
Київ,0,"Феофанія, Жуляни, Сквер Героїв Маріуполя, Автозаводська, Нова забудова, Клуб ""Saxon"", Голосіївська купіль, Голосіїв, ТРЦ Respublika Park, ТЦ ""Магелан"", Глушкова Академіка, Музей авіації, Інститут кібернетики ім. В.М.Глушкова, НУБІП, Парк ім. М.Рильського, Теремки-1, Національний інститут раку, Теремки-3, Теремки-2, Аеропорт ""Київ"", Китаїв, Спасо-Преображенський собор, Михайлівська Борщагівка, Експоцентр України, Ринок Столичний, Віта-Литовська, Голосіївський ліс, Ширма, Стелла Київ В.Великий, Корчувате, Льодовий Палац, Конча-Заспа"
Київ,1,"Парк Перемога, Стара Дарниця, ТРЦ Проспект, Русанівка, Березняки, Лівобережний масив, Лікарня Швидкої Допомоги, Парк ""Тельбін"", Північно-Броварський масив, Автозаводська, ТЦ ""Silver Breeze"", Парк Кіото, Проспект Соборності, Воскресенський масив, ДВРЗ, Соцмісто, Дарницька площа, ТРЦ ""KOMOD"", Ринок Юність, Пологовий будинок № 6, КНТЕУ, Биківня, Русанівські сади, Лісовий масив, Райдужний, Птахофабрика, Океанаріум «Морська Казка», Ліски"
Київ,2,"Квітництво, Замковище, Вітряні Гори, ТЦ Retroville, Мінський масив, Автозаводська, Синьоозерний масив, Оболонь, Вишгородський масив, ТРЦ DREAM yellow, Куренівський ринок, Міська лікарня №8, Парк Наталка, Стадіон Оболонь-Арена, Проспект Степана Бандери, ТРЦ DREAM berry, Куренівка, Біличе поле, 1-й мікрорайон Виноградаря, Оболонська набережна, Мамаєва Слобода, Нивки, Сирецький дендрологічний парк, Пріорка, ТРЦ Lavina Mall, Стадіон Спартак, Бабин Яр, Крістерова гірка, ТЦ Караван Outlet, Виноградар, 2-й мікрорайон Виноградаря, Берковець, Озеро Вербне, Мостицький масив, Селище Шевченка, Сквер Скрябіна, ТЦ Орнамент, Селище Водогін, Пологовий будинок №2, СК ""Сирець"", Площа Шевченка, Куренівський парк, Пуща-Водиця, ТЦ ""Gorodok Gallery"", Афанасівський яр, Парк ""Березовий Гай"""
Київ,3,"Кибальчич, Виґурівщина, Мінський масив, Троєщина, Воскресенський масив, Кінотеатр ""Флоренція"", Райдужний, Троєщинський базар, Парк Наталка, Рибальський острів, ТЦ Милославський, ТРЦ РайON, Авторинок на Перова, Молодіжний парк, Проспект Романа Шухевича, ТРЦ ""Квадрат NEO"", Село Троєщина, Лісовий масив, Автозаводська"
