price_UAH,city,main_area,second_area,street_name,subway,total_square,kitchen_square,living_square,rooms,total_floors,flat_floor,wall_type,checked_apartment,newbuild_name,animal,photo_counts,description,latitude,longitude,date,url
3 700,Харків,Салтівський,,вул. Ковалівська(Бестужева),Захисників України,19.0,4.0,16.0,1,6,1,кирпич,True,ЖК Бестужевські сади,,8,"11Хозяин сдаст в аренду   порядочным и аккуратным квартиросъёмщикам(без вредных привычек) , без животных и маленьких детей чистую и уютную квартиру гостиничного типа S=19m2.    1/6;В  ЖК *Бестужевские Сады*.(Ул. Бестужева 11).Дом имеет свою огороженную, и благоустроенную территорию с видеонаблюдением.
В 5мин.пешего хода ТРЦ ""Французкий бульвар"", в котором есть все необходимое для покупок и досуга.МПО,  вместительный шкаф купе, бойлер.В кв.имеется::.телевизор, ст.машина
, кондиционер, широкий 2 х.спальный диван, холодильник, микроволновка, утюг, гладильная доска, сушилка для белья, необходимая посуда.Проведен интернет и кабельное.
Оплата:3700+коммунальные, 1-й и последний месяц.Квартира свободна",49.9926043557096,36.28314321313073,2025-01-24 19:01:27,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-kovalevskaya-bestujeva-ulitsa-32686408.html
15 000,Харків,Новобаварський,,вул. Паращука Юрія,Холодна гора,67.0,10.0,66.0,3,10,2,кирпич,True,,,19,"Квартира з капітальним  ремонтом 2022 року, перша здача. У будинку є укриття. Квартира дуже тепла та світла.",49.97920239,36.1842842,2024-12-08 23:34:03,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-novobavarskiy-paraschuka-yuriya-ulitsa-31640241.html
8 000,Харків,Шевченківський,Центр,вул. Григорія Сковороди(Пушкінська),Архітектора Бекетова,69.0,9.0,,3,5,3,кирпич,True,,,12,"Сдам 3 к.кв. в самом Центре, ул. Пушкинская, 40, м. Арх. Бекетова в двух шагах.

3/5 эт. 69 м2. Все комнаты раздельные.

Квартира после ремонта, укомплектована мебелью и бытовой техникой. 2 ТВ, холодильник, кондиционер, микроволновка, стиральная машинка автомат.

Рядом вся инфраструктура.",49.99753778,36.23979083,2025-01-25 15:18:54,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-tsentr-grigoriya-skovorody-pushkinskaya-ulitsa-31130884.html
126 600,Харків,,,просп. Тракторобудівників,,48.0,,,2,5,3,панель,True,,,14,"2-кімнатна квартира, з двома роздільними кімнатами. У кожній кімнаті по балкону,  метро Студентська.",50.012198,36.348415,2025-01-25 15:05:33,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-traktorostroiteley-prospekt-32691747.html
3 300,Харків,Салтівський,,вул. Гарібальді,Студентська,36.0,8.0,20.0,1,9,8,панель,True,,,23,"Сдам 1 комнатную квартиру улучшенной планировки с ремонтом. Возле дома супермаркет АТБ, магазины, Класс.

     Квартира очень теплая, чистая, аккуратная. Просторная комната с раскладным диваном, есть шкафы, письменный стол, огромная утепленная лоджия сделана как вторая комната. Есть вся необходимая бытовая техника- холодильник, стиральная машинка, установлена новая варочная ГАЗОВАЯ поверхность, вытяжка. Также достаточно посуды и постельных принадлежностей, заведен интернет.
     Коммунальные минимальные, есть счетчики на свет и воду.

Квартира свободна, готова к заселению.",50.004694,36.351179,2025-01-25 14:47:11,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-garibaldi-ulitsa-32690379.html
9 000,Харків,Немишлянський,,вул. Мельникова Василя,Палац спорту,45.0,7.0,30.0,2,5,2,панель,True,,,17,"Здам двокімнатну квартиру на Нових будинках, вулиця Василя Мельникова 9/1. Формат-кухня студія + спальня. Євроремонт. Меблі, техніка. Цегляний будинок із газом. 9000+ комуналка.",49.96200452,36.32554073,2025-01-25 14:21:55,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-nemyshlyanskiy-melnikova-vasiliya-ulitsa-31494302.html
3 500,Харків,Шевченківський,,просп. Науки,23 Серпня,32.0,6.0,17.0,1,5,1,панель,True,,,19,"Здається в оренду на довгий термін однокімнатна квартира на 1 поверсі 5-ти поверхового будину. У квартирі газова плита, є бойлер, пральна машина автомат, на вікнах решітки.

Розташована біля метро 23 Серпня ( поруч відділення Нової пошти, продуктовий супермаркет Лео, магазин Вина світу, далі супермаркет Класс, Свіжина, ринок). 

У квартирі є 2 шафи для одяги, кладовка, є інтернет, 2 ліжка, письмовий стіл. Квартира затишна.",50.038494,36.222699,2025-01-25 13:19:06,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-nauki-prospekt-32691489.html
12 000,Харків,Шевченківський,337-ий мікрорайон,вул. Енвера Ахсарова,Олексіївська,82.1,15.7,38.2,2,9,3,монолитно-каркасный,False,ЖК Green Town,,15,"Вперше здам в оренду гарну сучасну 2-х кімнатну квартиру 82 м2 в обжитій новобудові Бізнес - класу Green Town. Підземний та наземний паркінги, охороняєма закрита теріторія. Поруч ліс. Метро Олексіївська - 5 хвилин пішки. Поруч супермаркети, ринок, зупинки транспорту, розважальні, учбові та спортивні заклади.
Квартира знаходиться на комфортному 3 поверсі, працює ліфт. Квартир дуже простора, багато повітря, висота стелі - 3 м. Встановлені панорамні вікна, дуже гарний вид у двір та на ліс. В квартирі дві окремі кімнати, два санвузла, простора кухня - студія, дві засклені лоджії. Євроремонт, сучасні меблі. Кухня повністю укомплектована всім необхідним. Встановлено лічильники на все. Телефонуйте! 12000 грн + лічильники.",50.052115,36.20848,2025-01-24 21:02:50,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-337-oy-mikrorayon-envera-ahsarova-ulitsa-32689211.html
8 000,Харків,Київський,,вул. Академіка Барабашова,Академіка Павлова,88.9,17.4,38.6,2,6,2,кирпич,False,,True,22,"Ваша мечта о комфортном жилье становится реальностью!
Предлагаю вам в долгосрочную аренду 2-комнатную квартиру в новом жилом комплексе ЖК Консоль, м Ак. Павлова 10 минут пешком, ул Барабашова, 30
Комфортный этаж 2/9, площадь 87 м, планировка раздельная, просторная кухня- студия 18м. Застекленная и утеплённая лоджия 10 м с выходами из каждой комнаты обеспечивает вам тепло в зимний период 
В квартире выполнен качественный капитальный ремонт, полностью укомплектована современной стильной и удобной мебелью и техникой!
Есть парковочное место для вашего авто
Тихий спокойный район, благоустроенный двор с детской площадкой
Цена 8000 грн и коммунальные платежи ( отопление 50%)
Эта квартира превращает съемное жилье в дом вашей мечты. Сделайте следующий шаг к вашей комфортной жизни. 
Не упустите этот шанс  свяжитесь со мной прямо сейчас и запишитесь на просмотр!",50.016201,36.3076,2025-01-24 17:39:32,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-barabashova-ulitsa-26761065.html
5 500,Харків,Салтівський,,просп. Героїв Харкова(Московський),Захисників України,40.0,8.0,21.0,1,10,7,кирпич,True,,,7,"Сдам свою 1 из. кв. рядом м. З. Украины 7/9 кирп, пр. Московский 97, необходимая мебель и техника, бойлер , кондиционер, газ, 5800 грн плюс счет, свободна, показываю с 24 января, пишите , торг возможен",49.99105725,36.25921571,2025-01-24 17:36:07,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-geroev-harkova-moskovskiy-prospekt-31984723.html
