price_UAH,city,main_area,second_area,street_name,subway,total_square,kitchen_square,living_square,rooms,total_floors,flat_floor,wall_type,checked_apartment,newbuild_name,animal,photo_counts,top5_photos,description,latitude,longitude,date,url
6000.0,Харків,Шевченківський ,,,True,24,5,,1,12,10,,,,False,5,"['https://ireland.apollo.olxcdn.com:443/v1/files/3snsnz7eqwll3-UA/image;s=1200x1600', 'https://ireland.apollo.olxcdn.com:443/v1/files/st9bj3phjbqt2-UA/image;s=1200x1600', 'https://ireland.apollo.olxcdn.com:443/v1/files/18c34gv36x161-UA/image;s=1200x1600', 'https://ireland.apollo.olxcdn.com:443/v1/files/ehlccv6u244d3-UA/image;s=1200x1600', 'https://ireland.apollo.olxcdn.com:443/v1/files/dryzwyt922px-UA/image;s=1200x1600']","ОписСдам свою квартиру в Харькове в возле метро Ботанический Сад. Прекрасное тихое место ,10 минут пешком от метро Ботанический сад , 2 минуты до Канатной дороге. Пешая доступность одной из лучших локаций для отдыха : Саржин Яр с бесплатной минеральной водой и множеством развлечений. Магазины, аптеки, супермаркет, тренажерный зал и т.д. В квартире есть все, заезжай и живи , свет постоянно есть, за время войны отключений не было, квартира очень теплая, работает два лифта.

Цена квартиры 6000 грн + коммунальные платежи.
 Звонить +38**************74 Людмила",,,,https://www.olx.ua//d/uk/obyavlenie/arenda-kvartiry-tsentr-botanicheskiy-sad-IDVMK37.html
8368.0,Харків,Шевченківський ,,,True,51,18,,1,20,7,Монолітний,,,True,6,"['https://ireland.apollo.olxcdn.com:443/v1/files/6cmb16tycz603-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/634hax1l8c69-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/c8q42azr6yul1-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/za29nm62cpci3-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/r03ico0lzyih3-UA/image;s=750x1000']","ОписСдам 1 ком квартиру чистую и аккуратную в современным ЖК на Ботаническом саду от метро 5 минут пешком . Очень удобная транспортная развязка: метро, автобусы, троллейбусы,маршрутки . Рядом продуктовые супермаркеты . 
Формат квартиры кухня гостиная, спальня , санузел. 
Цена 200$+ коммунальные . Есть счетчик на отопление.",,,,https://www.olx.ua//d/uk/obyavlenie/sdam-1-kom-kv-v-sovremennom-zhk-vozle-metro-botanicheskiy-sad-zhk-ultra-IDXdVYn.html
4000.0,Харків,Шевченківський ,,,False,18,3,,1,5,3,,,,False,8,"['https://ireland.apollo.olxcdn.com:443/v1/files/8cxdzs8w22042-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/2w5bjkuj9f4m2-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/5nkv4i1cz2pv3-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/yi6ckh8jkuk73-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/basdjyld92dc3-UA/image;s=750x1000']","ОписВласник! Здам в оренду чудову компактну і дуже функціональну квартиру в 5 хвилинах пішки від двох станцій метро: Спортивна і Метробудівників. ЖК Happy House, вул. Добровольців, 4. Новобудова, 3 поверх 5-поверхівки, з якісним свіжим  євроремонтом. В квартирі є все необхідне для комфортного проживання: холодильник, СВЧ, пральна машина-автомат, ТВ, варочна поверхня, бойлер. Також є балкон. Для максимально ефективного використання простору в квартирі є диван, який розкладається в повноцінне двоспальне ліжко. Квартира дуже тепла і вигідна з точки зору комунальних платежів: в самі холодні місяці платіж за тепло становить не більше 500 грн.",,,,https://www.olx.ua//d/uk/obyavlenie/orenda-1-kmnatno-kvartiri-m-sportivna-IDX7dsH.html
6000.0,Харків,Шевченківський ,,,False,32,7,,1,9,8,,,,False,7,"['https://ireland.apollo.olxcdn.com:443/v1/files/510loic9uhbj1-UA/image;s=1000x449', 'https://ireland.apollo.olxcdn.com:443/v1/files/hplw1cbrnaoz2-UA/image;s=1000x438', 'https://ireland.apollo.olxcdn.com:443/v1/files/7tghx7ttx9vb2-UA/image;s=1000x431', 'https://ireland.apollo.olxcdn.com:443/v1/files/6euhpi31lo4g2-UA/image;s=1000x455', 'https://ireland.apollo.olxcdn.com:443/v1/files/0skzj1alym2p-UA/image;s=1000x433']","ОписСдам однокомнатную квартиру Алексеевка возле метро Победа 
Адрес: проспект Победы 54 
До метро 5 минут 
Хороший ремонт 
8 этаж 
Цена 6000+коммунальные 

Оплата агентских услуг 50% от стоимости аренды единоразово по факту вселения 

Больше вариантов в тellеграm : 

arenda_kharkov",,,,https://www.olx.ua//d/uk/obyavlenie/sdam-1h-kvartiru-metro-pobeda-IDXgeDe.html
2000.0,Харків,Шевченківський ,,,False,44,5,,2,9,9,,,,False,8,"['https://ireland.apollo.olxcdn.com:443/v1/files/80hel25t44d03-UA/image;s=960x1280', 'https://ireland.apollo.olxcdn.com:443/v1/files/yg6tekecj07v1-UA/image;s=960x1280', 'https://ireland.apollo.olxcdn.com:443/v1/files/rf152ouobps73-UA/image;s=960x1280', 'https://ireland.apollo.olxcdn.com:443/v1/files/lmoafta206q03-UA/image;s=960x1280', 'https://ireland.apollo.olxcdn.com:443/v1/files/mofdon0szrnj-UA/image;s=960x1280']","ОписОренда двукімнатної квартири в гарному житловому стані. Квартира трохи потребує прибирання. Фото повністю відповідає. Додатково сплачувати комунальні послуги.  

kn.ua/r/126370 ; ID объекта - RE-126370",,,,https://www.olx.ua//d/uk/obyavlenie/2k-44m2-oleksvka-m-pobeda-alekseevka-126370-IDXgabG.html
5500.0,Харків,Шевченківський ,,,True,45,6,,2,12,7,,,,False,13,"['https://ireland.apollo.olxcdn.com:443/v1/files/4ww3yeuzco2q3-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/z18wz140k43u-UA/image;s=791x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/8likwyjvm3k8-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/gnm5hb258gnf1-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/2motk0vhdffw1-UA/image;s=750x1000']","ОписАренда. 2 комнатная квартира. Пр. Победы,78. Косметический ремонт. Комнаты раздельные. 
В наличии есть вся мебель и необходимая техника для проживания. 
Балкон с застеклен. 
Квартира свободна и готова к заселению. Отличное месторасположение, к метро Победа пешком 10 мин.",,,,https://www.olx.ua//d/uk/obyavlenie/sdam-v-arendu-2-komnatnuyu-kvartiru-na-pr-pobedy-78-IDXgdvH.html
7500.0,Харків,Шевченківський ,,,True,44,7,,2,5,2,,,,False,7,"['https://ireland.apollo.olxcdn.com:443/v1/files/6y1jz06rudem3-UA/image;s=1600x1200', 'https://ireland.apollo.olxcdn.com:443/v1/files/k2e80dpofa1b2-UA/image;s=1600x1200', 'https://ireland.apollo.olxcdn.com:443/v1/files/vavqsornfng62-UA/image;s=1600x1200', 'https://ireland.apollo.olxcdn.com:443/v1/files/8auo14xdr11x1-UA/image;s=1600x1200', 'https://ireland.apollo.olxcdn.com:443/v1/files/0qyx9rolpek-UA/image;s=1600x1200']","ОписСдам двухкомнатную квартиру, спальня+кухня студия,(пер 23 августа,д.5), площадь 44м2, 2й этам , с ремонтом, укомплектована мебелью и техникой, большая лоджия. Шикарная инфраструктура, метро Бот сад,23 августа в 10 мин.
СВОБОДНА с 12.02",,,,https://www.olx.ua//d/uk/obyavlenie/sdam-dvuhkomnatnuyu-kvartiru-metro-bot-sad-IDXcN4c.html
9500.0,Харків,Шевченківський ,,,True,40,15,,1,16,8,Цегляний,,,False,16,"['https://ireland.apollo.olxcdn.com:443/v1/files/mqzqp8czsw5j1-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/9i8no0zcibw8-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/lt22va9e1xab1-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/ym46lloo88v42-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/m2bhrqmd5ank-UA/image;s=750x1000']","ОписСдам отличную 1-комнатную квартиру в новострое ЖК Рогатинский, расположенном по адресу: ул.Рогатинская Левада, дом 8, в 10 минутах ходьбы от станции метро Центральный рынок, Клочковской улицы. 

В квартире выполнен качественный евроремонт, также квартира полностью укомплектована мебелью и встроенной техникой для комфортного проживания. 

Формат квартиры: просторная кухня, отдельная спальня, совмещенный санузел, большой, панорамный, застекленный балкон.

Цена 9500 грн плюс все коммунальные услуги ( счетчик на тепло, электричество).

Показы в удобное время, звоните!",,,,https://www.olx.ua//d/uk/obyavlenie/zhk-rogatinskiy-sdam-1-komn-kv-ru-klochkovskaya-tsentralnyy-rynok-IDXeZXn.html
16000.0,Харків,Шевченківський ,,,True,50,17,,1,17,12,Монолітний,,,False,22,"['https://ireland.apollo.olxcdn.com:443/v1/files/0ay70z0xwh9a1-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/051ghvsthnpj3-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/s3o8mr0kl6881-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/280kssfxpj6o1-UA/image;s=750x1000', 'https://ireland.apollo.olxcdn.com:443/v1/files/xyaxc7wf9md12-UA/image;s=750x1000']","ОписАренда 1 комнатную квартиру в ЖК Ключ, застройщик Авантаж , П. Поле , Саржин Яр, метро Ботанический Сад. 

Формат квартиры: кухня гостиная, спальня, сан узел, гардероб, балкон, прихожая. 
Квартира с ремонтом, мебелью и техникой.",,,,https://www.olx.ua//d/uk/obyavlenie/sdam-1-komnatnuyu-kvartiru-zhk-klyuch-avantazh-sarzhin-yar-IDXcSqL.html
4000.0,Харків,Шевченківський ,,,True,43,6,,2,5,5,Цегляний,,,False,9,"['https://ireland.apollo.olxcdn.com:443/v1/files/x9x582wg16411-UA/image;s=960x1280', 'https://ireland.apollo.olxcdn.com:443/v1/files/k67yk0ctc00q3-UA/image;s=960x1280', 'https://ireland.apollo.olxcdn.com:443/v1/files/hhkb9amr83dd1-UA/image;s=960x1280', 'https://ireland.apollo.olxcdn.com:443/v1/files/engwvj28oigx-UA/image;s=1280x929', 'https://ireland.apollo.olxcdn.com:443/v1/files/id2yfry8re4t2-UA/image;s=876x1169']","ОписСдана! Можете рассмотреть другие варианты в профиле.
Предлагается в аренду двухкомнатная светлая и просторная квартира у метро Ботанический Сад по улице Александра Олеся (бывшая Есенина) - 5 минут пешком до метро.
Квартира очень теплая, светлая и просторная. Полностью укомплектована необходимой мебелью и техникой, есть много места для хранения и балкон. Двор тихий.
Отлично развита вся необходимая инфраструктура: магазины, супермаркеты, аптеки, отделение банков, рестораны и тд. 
В пешей доступности одно из главных достопримечательностей Харькова - Саржин Яр.
Показываем по предварительной договоренности.",,,,https://www.olx.ua//d/uk/obyavlenie/sdaetsya-2k-kvartira-u-m-botanicheskiy-sad-5-minut-peshkom-IDX9Ejp.html
